t 	 H 	 Rt 	 N 	 N_obs 	 Rt_TTI_corrected
206.000000 	 0.004941 	 2.569174 	 29848.929633 	 27800.820958 	 2.950679
206.200000 	 0.004974 	 2.569174 	 29996.003822 	 28394.818981 	 2.946417
206.400000 	 0.005006 	 2.569174 	 30137.648489 	 28394.818981 	 2.946417
206.600000 	 0.005039 	 2.569174 	 30274.181927 	 28394.818981 	 2.946417
206.800000 	 0.005073 	 2.569174 	 30405.898783 	 28394.818981 	 2.946417
207.000000 	 0.005106 	 2.617130 	 30534.609574 	 28394.818981 	 2.996417
207.200000 	 0.005140 	 2.617130 	 30687.476936 	 29016.201990 	 2.991910
207.400000 	 0.005175 	 2.617130 	 30834.893829 	 29016.201990 	 2.991910
207.600000 	 0.005209 	 2.617130 	 30977.178784 	 29016.201990 	 2.991910
207.800000 	 0.005244 	 2.617130 	 31114.626566 	 29016.201990 	 2.991910
208.000000 	 0.005279 	 2.665134 	 31249.058941 	 29016.201990 	 3.041910
208.200000 	 0.005315 	 2.665134 	 31407.837069 	 29665.246349 	 3.037150
208.400000 	 0.005351 	 2.665134 	 31561.137569 	 29665.246349 	 3.037150
208.600000 	 0.005387 	 2.665134 	 31709.279527 	 29665.246349 	 3.037150
208.800000 	 0.005424 	 2.665134 	 31852.558121 	 29665.246349 	 3.037150
209.000000 	 0.005461 	 2.713186 	 31992.807752 	 29665.246349 	 3.087150
209.200000 	 0.005498 	 2.713186 	 32157.607750 	 30342.359249 	 3.082132
209.400000 	 0.005536 	 2.713186 	 32316.896924 	 30342.359249 	 3.082132
209.600000 	 0.005574 	 2.713186 	 32470.995206 	 30342.359249 	 3.082132
209.800000 	 0.005613 	 2.713186 	 32620.198459 	 30342.359249 	 3.082132
210.000000 	 0.005652 	 2.761290 	 32766.355046 	 30342.359249 	 3.132132
210.200000 	 0.005691 	 2.761290 	 32938.137654 	 31048.059329 	 3.126846
210.400000 	 0.005731 	 2.761290 	 33106.093966 	 31048.059329 	 3.126846
210.600000 	 0.005770 	 2.761290 	 33270.475646 	 31048.059329 	 3.126846
210.800000 	 0.005811 	 2.761290 	 33431.515547 	 31048.059329 	 3.126846
211.000000 	 0.005851 	 2.809448 	 33591.026428 	 31048.059329 	 3.176846
211.200000 	 0.005893 	 2.809448 	 33777.182404 	 31782.887527 	 3.171283
211.400000 	 0.005934 	 2.809448 	 33959.195722 	 31782.887527 	 3.171283
